Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1843,999.9,999.9,-4.6,-0.5,4,11,15.6,16.6,11.4,999.9,-1.4,-9.5,999.9
1844,-11.1,-15.3,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1845,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-5,999.9
1846,-15,-8.3,-2.9,-2.9,3.4,11.4,13.6,15.3,10.2,5,-0.9,-7.1,1.8
1847,-9.4,-10.1,-4.9,-1.4,4.7,9.6,13.5,14.3,11.1,4.3,-0.6,-4.8,2.2
1848,-9.8,-7.9,-1.3,1.1,4.4,10.3,13.5,13.6,9.8,2.6,-2.9,-6.5,2.2
1849,-6.6,-10.3,-7.7,0.3,4.8,9.3,15.7,14.9,9.4,4.8,-3.9,-5.6,2.1
1850,-8.8,-11.3,-1.1,0.6,4.9,999.9,999.9,15.2,10.7,3.3,-2.9,-9.6,999.9
1851,-8.3,-14.2,-11.1,-2.9,4.2,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1852,999.9,-9.4,-5.3,-3.2,2.4,999.9,999.9,999.9,999.9,4.4,-1.9,-5.3,999.9
1853,-5,-10,-5.1,-4.7,2.6,7.1,13.5,13.7,11.5,6,1.3,-5.8,2.1
1854,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1855,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1856,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1857,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1858,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1859,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1860,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
